"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost(Euro)","Aircraft"
"MBJ","KTP","NEG","SHM","MMJ","MBJ","cant complete trip","A400M"
"POT","NEG","NRT","OBO","IBR","POT","cant complete trip","C212"
"KTP","NRT","MMJ","CTS","IWO","KTP","cant complete trip","V22"
"NEG","MMJ","IBR","HKD","SHM","NEG","cant complete trip","BB1"
"NRT","IBR","IWO","SPK","OBO","NRT","cant complete trip","BA10"
"MMJ","IWO","SHM","MMB","CTS","MMJ","cant complete trip","SIS99"
"IBR","IBR","SHM","HKD","OBO","SHB","20","SAH"
"IWO","IWO","OBO","CTS","SPK","WKJ","34","A319"
"SHM","SHM","IKI","HKD","CTS","MMB","26","A320"
"OBO","OBO","SPK","HKD","SHB","UBJ","27","A321"
"CTS","CTS","SPK","MMB","WKJ","TSJ","25","A330"
"HKD","HKD","MMB","SHB","MBE","IKI","25","737"
"SPK","SPK","AKJ","SHB","WKJ","UBJ","25","747"
"MMB","MMB","WKJ","OIR","IKI","TSJ","26","757"
"SHB","SHB","MBE","RIS","UBJ","IKI","27","767"
"WKJ","WKJ","AKJ","UBJ","TSJ","KUM","31","777"
"IKI","IKI","TSJ","FUJ","OIR","MBE","26","BAE146"
"UBJ","UBJ","FUK","AKJ","MBE","RIS","23","DC8"
"TSJ","TSJ","TNE","KUM","OIR","AKJ","28","F50"
"MBE","MBE","RIS","OIR","KOJ","FUJ","28","MD11"
"AKJ","AKJ","RIS","FUK","KMI","KUM","29","A400M"
"OIR","OIR","OIT","KUM","TNE","FUJ","23","C212"
"RIS","RIS","FUK","KKJ","FUJ","KOJ","27","V22"
"KUM","KUM","TNE","KMJ","FUK","KMI","3","BB1"
"FUJ","FUJ","NGS","KOJ","TNE","OIT","6","BA10"
"FUK","FUK","KKJ","KOJ","KMI","ASJ","8","SIS99"
"TNE","TNE","KMI","KMJ","OIT","TKN","8","SAH"
"KOJ","KOJ","OIT","KKJ","NGS","KMQ","12","A319"
"KMI","KMI","KMJ","KKJ","OKI","ASJ","12","A320"
"OIT","OIT","KMJ","NGS","TKN","TOY","17","A321"
"KKJ","KKJ","NGS","HIJ","KMQ","ASJ","18","A330"
"KMJ","KMJ","OKJ","OKI","ASJ","TKN","14","737"
"NGS","NGS","IZO","KMQ","TOY","TKN","18","747"
"ASJ","ASJ","HIJ","YGJ","OKI","KMQ","15","757"
"TKN","TKN","KCZ","OKJ","OKI","TOY","19","767"
"KMQ","KMQ","TOY","HIJ","MYJ","IZO","6","777"
"OKI","OKI","YGJ","HIJ","OKJ","ITM","2","BAE146"
"TOY","TOY","OKJ","IZO","TTJ","KCZ","6","DC8"
"HIJ","HIJ","IZO","YGJ","TKS","MYJ","2","F50"
"OKJ","OKJ","YGJ","KCZ","TAK","ITM","3","MD11"
"IZO","IZO","TTJ","KCZ","MYJ","AOJ","16","A400M"
"YGJ","YGJ","MYJ","TKS","ITM","GAJ","11","C212"
"KCZ","KCZ","TAK","ITM","TTJ","HNA","14","V22"
"MYJ","MYJ","TTJ","TKS","AXT","AOJ","17","BB1"
"ITM","ITM","TKS","TAK","GAJ","MSJ","13","BA10"
"TTJ","TTJ","TAK","SDJ","HNA","AOJ","14","SIS99"
"TKS","TKS","HAC","GAJ","AXT","AOJ","16","SAH"
"TAK","TAK","OIM","GAJ","HNA","MSJ","15","A319"
"AOJ","AOJ","HNA","AXT","SDJ","HND","8","A320"
"GAJ","GAJ","AXT","MSJ","OKO","HAC","12","A321"
"HNA","HNA","MSJ","SDJ","OIM","OKA","32","A330"
"AXT","AXT","SDJ","HND","HAC","DNA","29","737"
"MSJ","MSJ","OKO","OIM","HAC","ISG","37","747"
"SDJ","SDJ","HND","OIM","UEO","OKA","27","757"
"HAC","HAC","HND","OKO","MMD","DNA","24","767"
"OIM","OIM","OKO","OKA","MMY","ISG","28","777"
"HND","HND","KTD","OKA","DNA","UEO","24","BAE146"
"OKO","OKO","MMD","DNA","SHI","ISG","29","DC8"
"OKA","OKA","UEO","RNJ","MMY","ISG","7","F50"
"DNA","DNA","UEO","MMD","KTD","OGN","13","MD11"
